Week,C1,C2,C3,C4
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,1,0,0
5,1,0,1,0
6,0,0,0,0
7,0,0,0,2
8,0,0,0,0
9,0,0,0,0
10,1,0,0,0
11,2,1,0,0
12,8,3,5,5
13,16,30,23,7
14,23,49,25,13
15,37,25,22,7
16,32,50,25,11
17,31,34,14,10
18,38,36,20,17
19,30,31,32,51
20,38,67,20,26
21,51,31,16,22
22,34,48,15,20
23,21,54,8,15
24,23,17,16,16
25,38,22,7,34
26,21,35,12,11
27,63,92,24,60
28,38,40,10,33
29,19,28,8,22
30,12,29,8,22
31,10,24,6,15
32,13,16,9,10
33,12,33,19,17
34,18,8,5,14
35,42,21,13,24
36,43,7,21,18
37,44,12,6,5
38,19,12,3,12
39,34,15,7,8
40,11,60,6,6
41,29,16,6,6
42,13,8,12,6
43,9,17,4,3
44,5,5,2,4
45,6,1,1,7
46,2,2,0,1
47,3,5,2,3
48,21,3,1,2
49,1,5,2,1
50,1,0,0,2
51,0,0,0,0
52,0,0,0,0
