"","LATITUDE","LONGITUDE","EVENT_DATE","id","cluster"
"5680",23.343,85.309,"2020-01-20",5513,2
"5681",18.968,72.831,"2020-01-26",5514,3
"5682",27.562,76.625,"2020-02-01",5515,1
"5683",12.972,77.594,"2020-02-14",5516,4
"5684",12.972,77.594,"2020-02-15",5517,4
"5685",28.987,79.403,"2020-03-06",5518,1
"5686",32.736,74.869,"2020-03-10",5519,1
"5688",20.272,85.834,"2020-03-14",5520,2
"5689",28.411,77.313,"2020-03-14",5521,1
"5690",26.839,80.923,"2020-03-16",5522,1
"5691",28.636,77.224,"2020-03-16",5523,1
"5692",30.323,78.032,"2020-03-17",5524,1
"5693",25.317,83.01,"2020-03-17",5525,2
"5694",33.829,74.932,"2020-03-18",5526,1
"5695",23.026,72.587,"2020-03-18",5527,3
"5697",34.086,74.806,"2020-03-19",5528,1
"5698",34.086,74.806,"2020-03-19",5529,1
"5699",17.384,78.456,"2020-03-19",5530,4
"5700",19.302,72.851,"2020-03-19",5531,3
"5701",16.696,74.232,"2020-03-19",5532,3
"5702",17.384,78.456,"2020-03-19",5533,4
"5703",23.026,72.587,"2020-03-19",5534,3
"5704",30.108,78.292,"2020-03-19",5535,1
"5705",21.663,85.614,"2020-03-20",5536,2
"5706",18.968,72.831,"2020-03-20",5537,3
"5707",12.972,77.594,"2020-03-20",5538,4
"5708",9.917,78.12,"2020-03-20",5539,4
"5709",34.086,74.806,"2020-03-21",5540,1
"5710",9.917,78.12,"2020-03-21",5541,4
"5711",22.573,88.375,"2020-03-21",5542,2
"5713",27.881,78.075,"2020-03-22",5543,1
"5714",28.839,78.777,"2020-03-22",5544,1
"5715",26.92,71.916,"2020-03-22",5545,1
"5716",28.56,77.292,"2020-03-22",5546,1
"5717",27.269,88.651,"2020-03-23",5547,2
"5718",10.774,76.656,"2020-03-23",5548,4
"5720",26.839,80.923,"2020-03-23",5549,1
"5721",25.445,81.843,"2020-03-23",5550,2
"5722",22.718,75.833,"2020-03-23",5551,3
"5723",21.901,77.902,"2020-03-23",5552,3
"5724",19.073,72.883,"2020-03-24",5553,3
"5726",22.292,70.793,"2020-03-24",5554,3
"5727",21.196,72.83,"2020-03-24",5555,3
"5728",29.692,77.679,"2020-03-24",5556,1
