Week,C1,C2,C3,C4
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,1
12,0,0,1,0
13,2,0,0,0
14,3,0,3,1
15,1,0,0,0
16,1,0,2,0
17,7,0,2,2
18,4,0,4,1
19,1,0,2,0
20,1,0,1,0
21,0,0,0,0
22,1,0,1,0
23,1,0,1,0
24,1,0,0,0
25,0,0,1,0
26,0,0,1,0
27,2,0,0,0
28,0,0,0,0
29,2,0,1,0
30,0,0,0,1
31,3,0,1,0
32,1,0,0,1
33,1,0,1,0
34,0,0,0,0
35,0,0,1,0
36,0,0,0,0
37,25,10,29,43
38,28,8,40,54
39,57,18,75,98
40,57,16,80,108
41,86,24,117,162
42,56,16,78,108
43,58,16,79,108
44,56,16,79,109
45,56,16,78,108
46,57,16,79,108
47,56,16,80,108
48,56,16,79,108
49,56,16,78,109
50,56,16,79,108
51,0,0,0,0
52,0,0,0,0
