"","LATITUDE","LONGITUDE","EVENT_DATE","id","cluster"
"9262",32.792,35.531,"2020-03-14",8980,4
"9263",32.081,34.781,"2020-03-17",8981,3
"9264",31.783,35.2,"2020-03-23",8982,1
"9265",31.769,35.216,"2020-03-27",8983,1
"9266",32.474,34.978,"2020-03-29",8984,3
"9267",31.252,34.791,"2020-03-29",8985,1
"9268",31.788,35.221,"2020-03-30",8986,1
"9269",32.05,34.758,"2020-04-01",8987,3
"9270",32.05,34.758,"2020-04-02",8988,3
"9271",31.788,35.221,"2020-04-04",8989,1
"9272",32.864,35.297,"2020-04-04",8990,4
"9273",31.769,35.216,"2020-04-06",8991,1
"9275",32.175,34.907,"2020-04-13",8992,3
"9277",31.788,35.221,"2020-04-16",8993,1
"9278",32.081,34.781,"2020-04-16",8994,3
"9279",31.788,35.221,"2020-04-19",8995,1
"9280",31.769,35.216,"2020-04-19",8996,1
"9281",33.022,35.447,"2020-04-19",8997,4
"9282",31.783,35.2,"2020-04-19",8998,1
"9283",32.081,34.781,"2020-04-19",8999,3
"9284",32.818,34.989,"2020-04-19",9000,4
"9285",32.081,34.781,"2020-04-19",9001,3
"9286",31.769,35.216,"2020-04-20",9002,1
"9287",31.731,34.993,"2020-04-20",9003,1
"9288",31.788,35.221,"2020-04-21",9004,1
"9289",31.788,35.221,"2020-04-21",9005,1
"9290",32.081,34.781,"2020-04-26",9006,3
"9291",31.788,35.221,"2020-04-26",9007,1
"9292",31.783,35.2,"2020-04-26",9008,1
"9293",31.788,35.221,"2020-04-27",9009,1
"9294",31.731,34.993,"2020-04-28",9010,1
"9295",32.01,34.779,"2020-04-29",9011,3
"9296",32.081,34.781,"2020-04-30",9012,3
"9297",32.818,34.989,"2020-05-01",9013,4
"9298",32.081,34.781,"2020-05-02",9014,3
"9299",32.081,34.834,"2020-05-03",9015,3
"9300",31.769,35.216,"2020-05-04",9016,1
"9301",32.081,34.834,"2020-05-08",9017,3
"9302",32.081,34.781,"2020-05-10",9018,3
"9303",31.769,35.216,"2020-05-14",9019,1
"9304",31.769,35.216,"2020-05-27",9020,1
"9305",32.05,34.758,"2020-05-28",9021,3
"9306",31.769,35.216,"2020-05-31",9022,1
"9307",32.081,34.781,"2020-06-05",9023,3
"9308",31.769,35.216,"2020-06-10",9024,1
"9309",32.081,34.781,"2020-06-17",9025,3
"9310",32.081,34.781,"2020-06-24",9026,3
"9311",31.745,34.757,"2020-06-28",9027,1
"9312",31.769,35.216,"2020-06-30",9028,1
"9313",31.769,35.216,"2020-07-12",9029,1
"9314",31.769,35.216,"2020-07-18",9030,1
"9315",32.081,34.781,"2020-07-18",9031,3
"9316",32.818,34.989,"2020-07-21",9032,4
"9317",31.769,35.216,"2020-07-28",9033,1
"9318",31.769,35.216,"2020-07-30",9034,1
"9319",31.769,35.216,"2020-07-31",9035,1
"9320",32.492,34.892,"2020-07-31",9036,3
"9321",32.818,34.989,"2020-08-08",9037,4
"9322",31.769,35.216,"2020-08-08",9038,1
"9323",31.769,35.216,"2020-08-15",9039,1
"9324",32.492,34.892,"2020-08-15",9040,3
"9325",32.081,34.781,"2020-08-26",9041,3
"9326",32.081,34.781,"2020-09-10",9042,3
"9327",32.134,34.829,"2020-09-10",9043,3
"9328",32.632,35.067,"2020-09-10",9044,4
"9329",32.69,35.139,"2020-09-10",9045,4
"9330",29.558,34.948,"2020-09-12",9046,2
"9331",32.551,35.439,"2020-09-12",9047,4
"9332",32.903,35.096,"2020-09-12",9048,4
"9333",30.658,35.237,"2020-09-12",9049,2
"9334",32.908,35.171,"2020-09-12",9050,4
"9335",32.523,34.945,"2020-09-12",9051,3
"9336",32.326,34.962,"2020-09-12",9052,3
"9337",31.669,34.572,"2020-09-12",9053,1
"9338",32.648,35.35,"2020-09-12",9054,4
"9339",31.412,34.825,"2020-09-12",9055,1
"9340",32.579,35.181,"2020-09-12",9056,4
"9341",32.078,34.849,"2020-09-12",9057,3
"9342",32.818,34.989,"2020-09-12",9058,4
"9343",32.598,34.952,"2020-09-12",9059,4
"9344",31.875,34.815,"2020-09-12",9060,1
"9345",30.769,35.28,"2020-09-12",9061,2
"9346",32.212,34.98,"2020-09-12",9062,3
"9347",32.138,34.971,"2020-09-12",9063,3
"9348",32.758,35.295,"2020-09-12",9064,4
"9349",31.832,34.882,"2020-09-12",9065,1
"9350",32.689,34.942,"2020-09-12",9066,4
"9351",32.168,34.875,"2020-09-12",9067,3
"9352",32.474,34.978,"2020-09-12",9068,3
"9353",32.306,34.909,"2020-09-12",9069,3
"9354",32.632,35.067,"2020-09-12",9070,4
"9355",32.134,34.829,"2020-09-12",9071,3
"9356",32.362,34.924,"2020-09-12",9072,3
"9357",32.507,35.054,"2020-09-12",9073,4
"9358",32.917,35.305,"2020-09-12",9074,4
"9359",31.877,34.821,"2020-09-12",9075,1
"9360",32.166,34.825,"2020-09-12",9076,3
"9361",32.167,34.898,"2020-09-12",9077,3
"9362",32.89,35.099,"2020-09-12",9078,4
"9363",31.731,34.836,"2020-09-12",9079,1
"9364",32.185,34.821,"2020-09-12",9080,3
"9365",32.687,35.421,"2020-09-12",9081,4
"9366",32.568,35.362,"2020-09-12",9082,4
"9367",32.681,35.153,"2020-09-12",9083,4
"9368",31.252,34.791,"2020-09-12",9084,1
"9369",31.61,34.764,"2020-09-12",9085,1
"9370",32.055,34.858,"2020-09-12",9086,3
"9371",33.207,35.572,"2020-09-12",9087,4
"9372",32.392,34.912,"2020-09-12",9088,3
"9373",32.963,35.095,"2020-09-12",9089,4
"9374",32.556,34.916,"2020-09-12",9090,4
"9375",32.449,34.952,"2020-09-12",9091,3
"9376",31.299,34.428,"2020-09-12",9092,1
"9377",29.941,35.064,"2020-09-12",9093,2
"9378",32.742,35.077,"2020-09-12",9094,4
"9379",32.055,34.835,"2020-09-12",9095,3
"9380",33.017,35.26,"2020-09-12",9096,4
"9381",31.802,35.011,"2020-09-12",9097,1
"9382",32.86,35.262,"2020-09-12",9098,4
"9383",30.619,34.806,"2020-09-12",9099,2
"9384",32.65,35.286,"2020-09-12",9100,4
"9385",31.898,35.01,"2020-09-12",9101,1
"9386",31.883,34.858,"2020-09-12",9102,1
"9387",32.69,35.196,"2020-09-12",9103,4
"9388",33.009,35.098,"2020-09-12",9104,4
"9389",31.923,34.824,"2020-09-12",9105,1
"9390",32.879,35.496,"2020-09-12",9106,4
"9391",30.363,35.155,"2020-09-12",9107,2
"9392",29.832,35.023,"2020-09-12",9108,2
