Week,C1,C2,C3,C4
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,4,1,1,10
13,5,10,2,32
14,3,17,4,47
15,5,8,7,24
16,5,12,4,52
17,10,13,4,39
18,16,16,9,62
19,8,21,1,34
20,2,9,6,37
21,8,17,4,32
22,7,8,8,47
23,1,15,4,33
24,4,6,8,20
25,5,7,3,32
26,6,11,3,14
27,6,12,2,30
28,3,6,1,20
29,3,6,2,20
30,3,12,1,21
31,9,4,3,18
32,1,4,4,12
33,12,6,3,21
34,2,15,2,7
35,4,6,0,8
36,1,3,0,12
37,0,3,0,5
38,1,1,0,2
39,1,2,1,3
40,0,2,2,5
41,0,1,2,4
42,1,2,0,2
43,0,0,1,5
44,1,3,0,7
45,0,2,3,6
46,1,2,2,5
47,0,1,0,4
48,1,1,1,7
49,0,4,2,17
50,0,1,1,10
51,0,0,0,0
52,0,0,0,0
