"","LATITUDE","LONGITUDE","EVENT_DATE","id","cluster"
"14141",24.809,-107.394,"17/03/2020",13782,3
"14142",19.288,-99.167,"17/03/2020",13783,4
"14143",19.431,-99.153,"19/03/2020",13784,4
"14144",16.862,-99.887,"19/03/2020",13785,4
"14145",19.527,-96.923,"19/03/2020",13786,4
"14146",19.703,-101.192,"19/03/2020",13787,4
"14147",21.161,-86.825,"20/03/2020",13788,1
"14148",20.397,-89.536,"20/03/2020",13789,1
"14149",20.967,-89.624,"20/03/2020",13790,1
"14150",20.69,-88.201,"20/03/2020",13791,1
"14151",16.862,-99.887,"20/03/2020",13792,4
"14152",19.372,-99.158,"20/03/2020",13793,4
"14153",19.484,-99.184,"20/03/2020",13794,4
"14154",25.542,-103.453,"20/03/2020",13795,2
"14155",19.288,-99.167,"21/03/2020",13796,4
"14156",18.462,-97.392,"21/03/2020",13797,4
"14157",17.988,-92.919,"22/03/2020",13798,1
"14158",22.776,-102.572,"23/03/2020",13799,2
"14159",16.862,-99.887,"23/03/2020",13800,4
"14160",19.35,-99.162,"23/03/2020",13801,4
"14161",25.542,-103.453,"23/03/2020",13802,2
"14162",19.527,-96.923,"23/03/2020",13803,4
"14163",16.862,-99.887,"23/03/2020",13804,4
"14164",19.359,-99.093,"23/03/2020",13805,4
"14165",21.122,-101.683,"23/03/2020",13806,2
"14166",18.909,-98.434,"23/03/2020",13807,4
"14167",18.885,-97.728,"23/03/2020",13808,4
"14168",19.932,-97.96,"23/03/2020",13809,4
"14169",18.966,-97.905,"23/03/2020",13810,4
"14170",20.018,-97.521,"23/03/2020",13811,4
"14171",19.044,-98.198,"23/03/2020",13812,4
"14172",18.988,-97.448,"23/03/2020",13813,4
"14173",19.396,-99.098,"24/03/2020",13814,4
"14174",14.911,-92.264,"24/03/2020",13815,1
"14176",19.431,-99.153,"24/03/2020",13816,4
"14177",19.288,-99.167,"24/03/2020",13817,4
"14178",23.2,-106.422,"25/03/2020",13818,2
"14179",19.455,-96.96,"25/03/2020",13819,4
"14180",22.152,-100.977,"25/03/2020",13820,2
"14181",19.243,-103.728,"25/03/2020",13821,2
"14182",31.326,-110.946,"25/03/2020",13822,3
"14183",19.527,-96.923,"25/03/2020",13823,4
"14184",19.431,-99.153,"26/03/2020",13824,4
"14185",22.776,-102.572,"26/03/2020",13825,2
"14186",23.2,-106.422,"26/03/2020",13826,2
"14187",19.431,-99.153,"26/03/2020",13827,4
"14188",17.06,-96.726,"26/03/2020",13828,4
"14189",22.216,-97.858,"26/03/2020",13829,4
"14190",19.538,-99.195,"26/03/2020",13830,4
"14191",19.044,-98.198,"26/03/2020",13831,4
"14192",29.075,-110.959,"26/03/2020",13832,3
"14193",25.422,-101,"26/03/2020",13833,2
"14194",19.431,-99.153,"27/03/2020",13834,4
"14195",19.845,-90.54,"27/03/2020",13835,1
"14196",22.392,-97.937,"27/03/2020",13836,4
"14197",18.922,-99.235,"27/03/2020",13837,4
"14198",20.967,-89.624,"27/03/2020",13838,1
"14199",20.122,-98.737,"27/03/2020",13839,4
"14200",19.19,-96.153,"27/03/2020",13840,4
"14201",22.152,-100.977,"27/03/2020",13841,2
"14202",17.552,-99.501,"27/03/2020",13842,4
"14203",19.483,-99.114,"27/03/2020",13843,4
"14204",19.431,-99.153,"28/03/2020",13844,4
"14205",19.294,-99.657,"28/03/2020",13845,4
"14206",20.692,-90.453,"28/03/2020",13846,1
"14207",16.862,-99.887,"29/03/2020",13847,4
"14208",16.862,-99.887,"30/03/2020",13848,4
"14209",19.313,-98.884,"30/03/2020",13849,4
"14210",19.626,-99.316,"30/03/2020",13850,4
"14211",19.543,-99.235,"30/03/2020",13851,4
"14212",19.479,-99.233,"30/03/2020",13852,4
"14213",19.71,-98.967,"30/03/2020",13853,4
"14214",19.19,-96.153,"30/03/2020",13854,4
"14215",19.19,-96.153,"30/03/2020",13855,4
"14216",19.417,-98.945,"30/03/2020",13856,4
"14217",19.177,-99.488,"30/03/2020",13857,4
"14218",19.372,-99.158,"30/03/2020",13858,4
"14219",20.676,-103.342,"30/03/2020",13859,2
"14220",19.431,-99.153,"30/03/2020",13860,4
"14221",17.552,-99.501,"30/03/2020",13861,4
"14222",19.19,-96.153,"30/03/2020",13862,4
"14223",22.246,-97.837,"30/03/2020",13863,4
"14224",19.286,-99.512,"30/03/2020",13864,4
"14226",19.409,-99.018,"30/03/2020",13865,4
"14227",23.731,-99.151,"30/03/2020",13866,2
"14228",28.637,-106.076,"30/03/2020",13867,3
"14229",19.599,-99.049,"30/03/2020",13868,4
"14230",20.507,-90.242,"30/03/2020",13869,1
"14231",21.122,-101.683,"30/03/2020",13870,2
"14232",20.122,-98.737,"30/03/2020",13871,4
"14233",22.216,-97.858,"30/03/2020",13872,4
"14234",19.513,-98.882,"30/03/2020",13873,4
"14235",19.294,-99.657,"30/03/2020",13874,4
"14236",25.542,-103.453,"30/03/2020",13875,2
"14237",20.967,-89.624,"30/03/2020",13876,1
"14238",19.421,-102.063,"30/03/2020",13877,4
"14239",19.404,-99.528,"30/03/2020",13878,4
"14240",20.673,-101.348,"30/03/2020",13879,2
"14241",21.159,-100.917,"30/03/2020",13880,2
"14242",21.016,-101.254,"30/03/2020",13881,2
"14243",21.122,-101.683,"30/03/2020",13882,2
"14244",22.152,-100.977,"30/03/2020",13883,2
"14245",19.431,-99.153,"31/03/2020",13884,4
"14246",19.431,-99.153,"31/03/2020",13885,4
"14247",26.092,-98.278,"31/03/2020",13886,2
"14248",22.246,-97.837,"31/03/2020",13887,4
"14249",19.19,-96.153,"31/03/2020",13888,4
"14250",18.839,-99.186,"31/03/2020",13889,4
"14251",20.676,-103.342,"31/03/2020",13890,2
"14252",18.502,-98.753,"31/03/2020",13891,4
"14253",19.294,-99.657,"31/03/2020",13892,4
"14254",17.552,-99.501,"01/04/2020",13893,4
"14255",16.862,-99.887,"01/04/2020",13894,4
"14256",17.223,-100.632,"01/04/2020",13895,4
"14257",26.901,-101.417,"01/04/2020",13896,2
"14258",24.809,-107.394,"01/04/2020",13897,3
"14259",20.673,-101.348,"01/04/2020",13898,2
"14260",21.122,-101.683,"01/04/2020",13899,2
"14261",19.841,-98.982,"01/04/2020",13900,4
"14262",16.862,-99.887,"02/04/2020",13901,4
"14263",19.703,-101.192,"02/04/2020",13902,4
"14264",19.423,-102.007,"02/04/2020",13903,4
"14265",29.075,-110.959,"02/04/2020",13904,3
"14266",20.122,-98.737,"02/04/2020",13905,4
"14267",16.862,-99.887,"03/04/2020",13906,4
"14268",19.527,-96.923,"03/04/2020",13907,4
"14269",20.122,-98.737,"03/04/2020",13908,4
"14270",19.431,-99.153,"03/04/2020",13909,4
"14271",20.676,-103.342,"03/04/2020",13910,2
"14272",19.965,-90.226,"03/04/2020",13911,1
"14273",16.862,-99.887,"03/04/2020",13912,4
"14274",27.486,-99.508,"03/04/2020",13913,2
"14275",32.532,-117.019,"03/04/2020",13914,3
"14276",19.19,-96.153,"03/04/2020",13915,4
"14277",16.862,-99.887,"04/04/2020",13916,4
"14278",22.735,-102.366,"04/04/2020",13917,2
"14279",19.431,-99.153,"05/04/2020",13918,4
"14280",21.931,-99.995,"06/04/2020",13919,2
"14281",26.092,-98.278,"06/04/2020",13920,2
"14282",17.552,-99.501,"06/04/2020",13921,4
"14283",22.216,-97.858,"06/04/2020",13922,4
"14284",27.486,-99.508,"06/04/2020",13923,2
"14285",19.527,-96.923,"06/04/2020",13924,4
"14286",19.527,-96.923,"06/04/2020",13925,4
"14287",20.081,-98.368,"06/04/2020",13926,4
"14288",19.431,-99.153,"06/04/2020",13927,4
"14289",19.419,-99.114,"06/04/2020",13928,4
"14290",21.283,-89.664,"06/04/2020",13929,1
"14291",19.599,-99.049,"06/04/2020",13930,4
"14292",20.676,-103.342,"06/04/2020",13931,2
"14293",19.243,-103.728,"06/04/2020",13932,2
